secret,turns,path
aback,5,reast(__g__) -> clank(y_g_g) -> quack(__ggg) -> whack(__ggg) -> aback(ggggg)
abase,3,reast(_ygg_) -> phase(__ggg) -> abase(ggggg)
abate,3,reast(_yg_y) -> plate(__ggg) -> abate(ggggg)
abbey,3,reast(_yy__) -> angel(g__g_) -> abbey(ggggg)
abbot,3,reast(__y_g) -> atilt(g___g) -> abbot(ggggg)
abhor,4,reast(y_y__) -> carom(_yyg_) -> ardor(g__gg) -> abhor(ggggg)
abide,3,reast(_yy__) -> angel(g__y_) -> abide(ggggg)
abled,4,reast(_yy__) -> angel(g__gy) -> alley(g_gg_) -> abled(ggggg)
abode,4,reast(_yy__) -> angel(g__y_) -> abide(gg_gg) -> abode(ggggg)
abort,3,reast(y_y_g) -> carat(_yy_g) -> abort(ggggg)
about,4,reast(__y_g) -> atilt(g___g) -> abbot(gg_yg) -> about(ggggg)
above,4,reast(_yy__) -> angel(g__y_) -> abide(gg__g) -> above(ggggg)
abuse,3,reast(_yyg_) -> amuse(g_ggg) -> abuse(ggggg)
abyss,3,reast(__yg_) -> lassi(_yyg_) -> abyss(ggggg)
acorn,3,reast(y_y__) -> carom(yyyy_) -> acorn(ggggg)
acrid,3,reast(y_y__) -> carom(yyg__) -> acrid(ggggg)
actor,3,reast(y_y_y) -> talar(yy__g) -> actor(ggggg)
acute,3,reast(_yy_y) -> latte(_y_gg) -> acute(ggggg)
adage,3,reast(_yg__) -> glade(y_gyg) -> adage(ggggg)
adapt,3,reast(__g_g) -> plait(y_g_g) -> adapt(ggggg)
adept,3,reast(_yy_g) -> cleat(__gyg) -> adept(ggggg)
admin,3,reast(__y__) -> monal(y_yy_) -> admin(ggggg)
admit,4,reast(__y_g) -> atilt(g_y_g) -> audit(g_ygg) -> admit(ggggg)
adobe,4,reast(_yy__) -> angel(g__y_) -> abide(gy_yg) -> adobe(ggggg)
adopt,4,reast(__y_g) -> atilt(g___g) -> abbot(g__yg) -> adopt(ggggg)
adore,4,reast(yyy__) -> wager(_y_yy) -> bread(_yyyy) -> adore(ggggg)
adorn,4,reast(y_y__) -> carom(_yyy_) -> organ(yy_yg) -> adorn(ggggg)
adult,3,reast(__y_g) -> atilt(g__gg) -> adult(ggggg)
affix,5,reast(__y__) -> monal(___y_) -> cadgy(_y___) -> pizza(_y__y) -> affix(ggggg)
afire,4,reast(yyy__) -> wager(_y_yy) -> bread(_yyy_) -> afire(ggggg)
afoot,4,reast(__y_g) -> atilt(g___g) -> abbot(g__gg) -> afoot(ggggg)
afoul,3,reast(__y__) -> monal(_y_yg) -> afoul(ggggg)
after,3,reast(yyy_y) -> later(_yggg) -> after(ggggg)
again,3,reast(__g__) -> clank(__gy_) -> again(ggggg)
agape,4,reast(_yg__) -> glade(y_g_g) -> image(__gyg) -> agape(ggggg)
agate,4,reast(_yg_y) -> plate(__ggg) -> abate(g_ggg) -> agate(ggggg)
agent,4,reast(_yy_g) -> cleat(__gyg) -> adept(g_g_g) -> agent(ggggg)
agile,3,reast(_yy__) -> angel(g_yyy) -> agile(ggggg)
aging,4,reast(__y__) -> monal(__yy_) -> aping(g_ggg) -> aging(ggggg)
aglow,4,reast(__y__) -> monal(_y_yy) -> alloy(g_gg_) -> aglow(ggggg)
agony,3,reast(__y__) -> monal(_yyy_) -> agony(ggggg)
agora,4,reast(y_y__) -> carom(_yyy_) -> organ(yyyy_) -> agora(ggggg)
agree,3,reast(yyy__) -> wager(_yygy) -> agree(ggggg)
ahead,4,reast(_yy__) -> angel(g__y_) -> abide(g__yy) -> ahead(ggggg)
aider,3,reast(yyy__) -> wager(_y_gg) -> aider(ggggg)
aisle,3,reast(_yyy_) -> slane(yyy_g) -> aisle(ggggg)
alarm,4,reast(y_g__) -> drawn(_yg__) -> claro(_ggg_) -> alarm(ggggg)
album,3,reast(__y__) -> monal(y__yy) -> album(ggggg)
alert,2,reast(yyy_g) -> alert(ggggg)
algae,3,reast(_yy__) -> angel(g_gyy) -> algae(ggggg)
alibi,4,reast(__y__) -> monal(___yy) -> daily(_ygy_) -> alibi(ggggg)
alien,3,reast(_yy__) -> angel(gy_gy) -> alien(ggggg)
align,3,reast(__y__) -> monal(__yyy) -> align(ggggg)
alike,4,reast(_yy__) -> angel(g__yy) -> apple(g__yg) -> alike(ggggg)
alive,5,reast(_yy__) -> angel(g__yy) -> apple(g__yg) -> alike(ggg_g) -> alive(ggggg)
allay,4,reast(__y__) -> monal(___gy) -> iliac(_g_g_) -> allay(ggggg)
alley,3,reast(_yy__) -> angel(g__gy) -> alley(ggggg)
allot,3,reast(__y_g) -> atilt(g__yg) -> allot(ggggg)
allow,4,reast(__y__) -> monal(_y_yy) -> alloy(gggg_) -> allow(ggggg)
alloy,3,reast(__y__) -> monal(_y_yy) -> alloy(ggggg)
aloft,4,reast(__y_g) -> atilt(g__yg) -> allot(gg_yg) -> aloft(ggggg)
alone,3,reast(_yy__) -> angel(gy_yy) -> alone(ggggg)
along,3,reast(__y__) -> monal(_yyyy) -> along(ggggg)
aloof,4,reast(__y__) -> monal(_y_yy) -> alloy(gg_g_) -> aloof(ggggg)
aloud,4,reast(__y__) -> monal(_y_yy) -> alloy(gg_y_) -> aloud(ggggg)
alpha,4,reast(__y__) -> monal(___yy) -> daily(_y_y_) -> alpha(ggggg)
altar,3,reast(y_y_y) -> talar(yyygg) -> altar(ggggg)
alter,3,reast(yyy_y) -> later(yyggg) -> alter(ggggg)
amass,3,reast(__gg_) -> slash(y_gg_) -> amass(ggggg)
amaze,4,reast(_yg__) -> glade(__g_g) -> awake(g_g_g) -> amaze(ggggg)
amber,4,reast(yyy__) -> wager(_y_gg) -> aider(g__gg) -> amber(ggggg)
amble,4,reast(_yy__) -> angel(g__yy) -> apple(g__gg) -> amble(ggggg)
amend,3,reast(_yy__) -> angel(gy_y_) -> amend(ggggg)
amiss,3,reast(__yg_) -> lassi(_yygy) -> amiss(ggggg)
amity,3,reast(__y_y) -> batty(_y_gg) -> amity(ggggg)
among,3,reast(__y__) -> monal(yyyy_) -> among(ggggg)
ample,4,reast(_yy__) -> angel(g__yy) -> apple(g_ggg) -> ample(ggggg)
amply,4,reast(__y__) -> monal(y__yy) -> album(gy__y) -> amply(ggggg)
amuse,2,reast(_yyg_) -> amuse(ggggg)
angel,2,reast(_yy__) -> angel(ggggg)
anger,3,reast(yyy__) -> wager(_yggg) -> anger(ggggg)
angle,3,reast(_yy__) -> angel(gggyy) -> angle(ggggg)
angry,4,reast(y_y__) -> carom(_yy__) -> urban(_y_yy) -> angry(ggggg)
angst,2,reast(__ygg) -> angst(ggggg)
anime,3,reast(_yy__) -> angel(gg_y_) -> anime(ggggg)
ankle,3,reast(_yy__) -> angel(gg_yy) -> ankle(ggggg)
annex,3,reast(_yy__) -> angel(gg_g_) -> annex(ggggg)
annoy,4,reast(__y__) -> monal(_ygy_) -> canon(_yggy) -> annoy(ggggg)
annul,3,reast(__y__) -> monal(__gyg) -> annul(ggggg)
anode,4,reast(_yy__) -> angel(gg_y_) -> anime(gg__g) -> anode(ggggg)
antic,4,reast(__y_y) -> batty(_yg__) -> vital(_ygy_) -> antic(ggggg)
anvil,3,reast(__y__) -> monal(__yyg) -> anvil(ggggg)
aorta,3,reast(y_y_y) -> talar(yy_yy) -> aorta(ggggg)
apart,3,reast(y_g_g) -> craft(_yg_g) -> apart(ggggg)
aphid,4,reast(__y__) -> monal(___y_) -> cadgy(_yy__) -> aphid(ggggg)
aping,3,reast(__y__) -> monal(__yy_) -> aping(ggggg)
apnea,3,reast(_yy__) -> angel(gy_g_) -> apnea(ggggg)
apple,3,reast(_yy__) -> angel(g__yy) -> apple(ggggg)
apply,4,reast(__y__) -> monal(___yy) -> daily(_y_gg) -> apply(ggggg)
apron,4,reast(y_y__) -> carom(_ygg_) -> arrow(g_gg_) -> apron(ggggg)
aptly,3,reast(__y_y) -> batty(_yg_g) -> aptly(ggggg)
arbor,4,reast(y_y__) -> carom(_yyg_) -> ardor(gg_gg) -> arbor(ggggg)
ardor,3,reast(y_y__) -> carom(_yyg_) -> ardor(ggggg)
arena,4,reast(yyy__) -> wager(_y_yy) -> bread(_ggy_) -> arena(ggggg)
argue,3,reast(yyy__) -> wager(_ygyy) -> argue(ggggg)
arise,3,reast(yyyg_) -> arose(gg_gg) -> arise(ggggg)
armor,3,reast(y_y__) -> carom(_yygy) -> armor(ggggg)
aroma,3,reast(y_y__) -> carom(_yyyy) -> aroma(ggggg)
arose,2,reast(yyyg_) -> arose(ggggg)
array,3,reast(y_y__) -> carom(_yg__) -> array(ggggg)
arrow,3,reast(y_y__) -> carom(_ygg_) -> arrow(ggggg)
arson,3,reast(y_yy_) -> sprag(y_yy_) -> arson(ggggg)
artsy,2,reast(y_ygy) -> artsy(ggggg)
ascot,3,reast(__yyg) -> splat(y__yg) -> ascot(ggggg)
ashen,3,reast(_yyy_) -> slane(y_yyy) -> ashen(ggggg)
aside,3,reast(_yyy_) -> slane(y_y_g) -> aside(ggggg)
askew,4,reast(_yyy_) -> slane(y_y_y) -> essay(yg_y_) -> askew(ggggg)
assay,3,reast(__yy_) -> solan(y__g_) -> assay(ggggg)
asset,3,reast(_yyyg) -> sweat(y_yyg) -> asset(ggggg)
atoll,4,reast(__y_y) -> batty(_yy__) -> tonga(yy__y) -> atoll(ggggg)
atone,3,reast(_yy_y) -> latte(_yy_g) -> atone(ggggg)
attic,4,reast(__y_y) -> batty(_ygy_) -> total(y_gy_) -> attic(ggggg)
audio,3,reast(__y__) -> monal(_y_y_) -> audio(ggggg)
audit,3,reast(__y_g) -> atilt(g_y_g) -> audit(ggggg)
augur,4,reast(y_y__) -> carom(_yy__) -> urban(yy_y_) -> augur(ggggg)
aunty,4,reast(__y_y) -> batty(_y_gg) -> amity(g__gg) -> aunty(ggggg)
avail,4,reast(__g__) -> clank(_yg__) -> qualm(__gy_) -> avail(ggggg)
avert,3,reast(yyy_g) -> alert(g_ggg) -> avert(ggggg)
avian,3,reast(__y__) -> monal(__yg_) -> avian(ggggg)
avoid,4,reast(__y__) -> monal(_y_y_) -> audio(g_ygy) -> avoid(ggggg)
await,3,reast(__g_g) -> plait(__ggg) -> await(ggggg)
awake,3,reast(_yg__) -> glade(__g_g) -> awake(ggggg)
award,3,reast(y_g__) -> drawn(yygy_) -> award(ggggg)
aware,4,reast(yyg__) -> brace(_yg_g) -> flare(__ggg) -> aware(ggggg)
awash,3,reast(__gg_) -> slash(__ggg) -> awash(ggggg)
awful,4,reast(__y__) -> monal(___yg) -> cavil(_y__g) -> awful(ggggg)
awoke,4,reast(_yy__) -> angel(g__y_) -> abide(g___g) -> awoke(ggggg)
axial,4,reast(__y__) -> monal(___gg) -> cabal(_y_gg) -> axial(ggggg)
axiom,3,reast(__y__) -> monal(yy_y_) -> axiom(ggggg)
axion,4,reast(__y__) -> monal(_yyy_) -> agony(g_yy_) -> axion(ggggg)
azure,5,reast(yyy__) -> wager(_y_yy) -> bread(_yyy_) -> afire(g__gg) -> azure(ggggg)
bacon,4,reast(__y__) -> monal(_yyy_) -> agony(y_yy_) -> bacon(ggggg)
badge,4,reast(_yy__) -> angel(y_yy_) -> gauze(yg__g) -> badge(ggggg)
badly,4,reast(__y__) -> monal(___yy) -> daily(yg_gg) -> badly(ggggg)
bagel,3,reast(_yy__) -> angel(y_ggg) -> bagel(ggggg)
baggy,4,reast(__y__) -> monal(___y_) -> cadgy(_g_gg) -> baggy(ggggg)
baker,5,reast(yyy__) -> wager(_g_gg) -> paler(_g_gg) -> maker(_gggg) -> baker(ggggg)
baler,4,reast(yyy__) -> wager(_g_gg) -> paler(_gggg) -> baler(ggggg)
balmy,4,reast(__y__) -> monal(y__yy) -> album(yyy_y) -> balmy(ggggg)
banal,4,reast(__y__) -> monal(__ggg) -> canal(_gggg) -> banal(ggggg)
banjo,4,reast(__y__) -> monal(_ygy_) -> canon(_ggy_) -> banjo(ggggg)
barge,4,reast(yyy__) -> wager(_gyyy) -> large(_gggg) -> barge(ggggg)
baron,3,reast(y_y__) -> carom(_ggg_) -> baron(ggggg)
basal,4,reast(__yy_) -> solan(y_yg_) -> usual(_y_gg) -> basal(ggggg)
basic,4,reast(__yy_) -> solan(y__y_) -> basis(gggg_) -> basic(ggggg)
basil,3,reast(__yy_) -> solan(y_yy_) -> basil(ggggg)
basin,3,reast(__yy_) -> solan(y__yg) -> basin(ggggg)
basis,3,reast(__yy_) -> solan(y__y_) -> basis(ggggg)
baste,3,reast(_yyyy) -> tabes(ygyyy) -> baste(ggggg)
batch,4,reast(__y_y) -> batty(ggg__) -> baton(ggg__) -> batch(ggggg)
bathe,3,reast(_yy_y) -> latte(_gg_g) -> bathe(ggggg)
baton,3,reast(__y_y) -> batty(ggg__) -> baton(ggggg)
batty,2,reast(__y_y) -> batty(ggggg)
bawdy,4,reast(__y__) -> monal(___y_) -> cadgy(_gy_g) -> bawdy(ggggg)
bayou,4,reast(__y__) -> monal(_y_y_) -> audio(yy__y) -> bayou(ggggg)
beach,3,reast(_gg__) -> leavy(_gg__) -> beach(ggggg)
beady,4,reast(_gg__) -> leavy(_gg_g) -> heady(_gggg) -> beady(ggggg)
beard,3,reast(ygg__) -> leary(_ggg_) -> beard(ggggg)
beast,4,reast(_gggg) -> feast(_gggg) -> yeast(_gggg) -> beast(ggggg)
beech,4,reast(_g___) -> henge(yg__y) -> leech(_gggg) -> beech(ggggg)
beefy,4,reast(_g___) -> henge(_g__y) -> bevel(gg_y_) -> beefy(ggggg)
befit,3,reast(_g__g) -> debit(_gygg) -> befit(ggggg)
began,3,reast(_gy__) -> pedal(_g_g_) -> began(ggggg)
begat,2,reast(_gy_g) -> begat(ggggg)
beget,3,reast(_g__g) -> debit(_gy_g) -> beget(ggggg)
begin,3,reast(_g___) -> henge(_gyy_) -> begin(ggggg)
begun,4,reast(_g___) -> henge(_gyy_) -> begin(ggg_g) -> begun(ggggg)
being,4,reast(_g___) -> henge(_gyy_) -> begin(ggyyy) -> being(ggggg)
belch,3,reast(_g___) -> henge(yg___) -> belch(ggggg)
belie,4,reast(_g___) -> henge(_g__g) -> medle(_g_yg) -> belie(ggggg)
belle,4,reast(_g___) -> henge(_g__g) -> medle(_g_gg) -> belle(ggggg)
belly,3,reast(_g___) -> henge(_g___) -> belly(ggggg)
below,4,reast(_g___) -> henge(_g___) -> belly(ggg__) -> below(ggggg)
bench,4,reast(_g___) -> henge(ygg__) -> wench(_gggg) -> bench(ggggg)
beret,2,reast(yg__g) -> beret(ggggg)
berry,4,reast(yg___) -> lered(_gg__) -> merry(_gggg) -> berry(ggggg)
berth,3,reast(yg__y) -> metro(_gyy_) -> berth(ggggg)
beset,2,reast(_g_yg) -> beset(ggggg)
betel,3,reast(_g__y) -> depth(_g_y_) -> betel(ggggg)
bevel,3,reast(_g___) -> henge(_g__y) -> bevel(ggggg)
bezel,4,reast(_g___) -> henge(_g__y) -> bevel(gg_gg) -> bezel(ggggg)
bible,4,reast(_y___) -> clone(_y__g) -> liege(yg__g) -> bible(ggggg)
bicep,4,reast(_y___) -> clone(y___y) -> dicey(_ggg_) -> bicep(ggggg)
biddy,3,reast(_____) -> build(g_y_y) -> biddy(ggggg)
bigot,4,reast(____g) -> flint(__y_g) -> vomit(_y_yg) -> bigot(ggggg)
bilge,4,reast(_y___) -> clone(_y__g) -> liege(yg_gg) -> bilge(ggggg)
billy,3,reast(_____) -> build(g_yg_) -> billy(ggggg)
binge,3,reast(_y___) -> clone(___yg) -> binge(ggggg)
bingo,3,reast(_____) -> build(g_y__) -> bingo(ggggg)
