secret,turns,path
aback,3,salet(_y___) -> adorn(g____) -> aback(ggggg)
abase,4,salet(yy_y_) -> erase(__ggg) -> phase(__ggg) -> abase(ggggg)
abate,3,salet(_y_yy) -> grate(__ggg) -> abate(ggggg)
abbey,3,salet(_y_g_) -> anger(g__g_) -> abbey(ggggg)
abbot,3,salet(_y__g) -> crudo(____y) -> abbot(ggggg)
abhor,4,salet(_y___) -> adorn(g_yy_) -> armor(g__gg) -> abhor(ggggg)
abide,4,salet(_y_y_) -> beard(yyy_y) -> adobe(gy_yg) -> abide(ggggg)
abled,2,salet(_ygg_) -> abled(ggggg)
abode,4,salet(_y_y_) -> beard(yyy_y) -> adobe(gygyg) -> abode(ggggg)
abort,3,salet(_y__g) -> crudo(_y__y) -> abort(ggggg)
about,3,salet(_y__g) -> crudo(__y_y) -> about(ggggg)
above,3,salet(_y_y_) -> beard(yyy__) -> above(ggggg)
abuse,3,salet(yy_y_) -> erase(__ygg) -> abuse(ggggg)
abyss,3,salet(yy___) -> brash(y_yg_) -> abyss(ggggg)
acorn,3,salet(_y___) -> adorn(g_ggg) -> acorn(ggggg)
acrid,3,salet(_y___) -> adorn(gy_y_) -> acrid(ggggg)
actor,3,salet(_y__y) -> train(yyy__) -> actor(ggggg)
acute,3,salet(_y_yy) -> grate(__ygg) -> acute(ggggg)
adage,3,salet(_y_y_) -> beard(_yg_y) -> adage(ggggg)
adapt,3,salet(_y__g) -> crudo(___y_) -> adapt(ggggg)
adept,3,salet(_y_yg) -> heart(_yy_g) -> adept(ggggg)
admin,3,salet(_y___) -> adorn(gg__g) -> admin(ggggg)
admit,4,salet(_y__g) -> crudo(___y_) -> adapt(gg__g) -> admit(ggggg)
adobe,3,salet(_y_y_) -> beard(yyy_y) -> adobe(ggggg)
adopt,3,salet(_y__g) -> crudo(___yy) -> adopt(ggggg)
adore,3,salet(_y_y_) -> beard(_yygy) -> adore(ggggg)
adorn,2,salet(_y___) -> adorn(ggggg)
adult,3,salet(_yy_g) -> gloat(_y_yg) -> adult(ggggg)
affix,4,salet(_y___) -> adorn(g____) -> aback(g____) -> affix(ggggg)
afire,4,salet(_y_y_) -> beard(_yyg_) -> azure(g__gg) -> afire(ggggg)
afoot,4,salet(_y__g) -> crudo(____y) -> abbot(g__gg) -> afoot(ggggg)
afoul,4,salet(_yy__) -> alarm(gy___) -> awful(g_ygg) -> afoul(ggggg)
after,2,salet(_y_gy) -> after(ggggg)
again,3,salet(_y___) -> adorn(g___g) -> again(ggggg)
agape,4,salet(_y_y_) -> beard(_yg__) -> kanga(_y_yy) -> agape(ggggg)
agate,3,salet(_y_yy) -> grate(y_ggg) -> agate(ggggg)
agent,4,salet(_y_yg) -> heart(_yy_g) -> adept(g_g_g) -> agent(ggggg)
agile,4,salet(_yyy_) -> regal(_yyyy) -> glade(yyy_g) -> agile(ggggg)
aging,3,salet(_y___) -> adorn(g___y) -> aging(ggggg)
aglow,3,salet(_yg__) -> allay(g_g__) -> aglow(ggggg)
agony,3,salet(_y___) -> adorn(g_g_y) -> agony(ggggg)
agora,3,salet(_y___) -> adorn(g_gg_) -> agora(ggggg)
agree,3,salet(_y_g_) -> anger(g_ygy) -> agree(ggggg)
ahead,4,salet(_y_y_) -> beard(_yy_g) -> amend(g_g_g) -> ahead(ggggg)
aider,3,salet(_y_g_) -> anger(g__gg) -> aider(ggggg)
aisle,3,salet(yyyy_) -> leash(yyyy_) -> aisle(ggggg)
alarm,2,salet(_yy__) -> alarm(ggggg)
album,3,salet(_yy__) -> alarm(gg__g) -> album(ggggg)
alert,4,salet(_yyyg) -> leapt(yyy_g) -> bleat(_ggyg) -> alert(ggggg)
algae,3,salet(_yyy_) -> regal(_yggy) -> algae(ggggg)
alibi,4,salet(_yy__) -> alarm(gg___) -> blond(yg___) -> alibi(ggggg)
alien,2,salet(_yyg_) -> alien(ggggg)
align,4,salet(_yy__) -> alarm(gg___) -> blond(_g_y_) -> align(ggggg)
alike,4,salet(_yyy_) -> regal(_y_yy) -> amble(g__yg) -> alike(ggggg)
alive,5,salet(_yyy_) -> regal(_y_yy) -> amble(g__yg) -> alike(ggg_g) -> alive(ggggg)
allay,2,salet(_yg__) -> allay(ggggg)
alley,3,salet(_ygg_) -> abled(g_gg_) -> alley(ggggg)
allot,2,salet(_yg_g) -> allot(ggggg)
allow,3,salet(_yg__) -> allay(ggg__) -> allow(ggggg)
alloy,3,salet(_yg__) -> allay(ggg_g) -> alloy(ggggg)
aloft,3,salet(_yy_g) -> gloat(_ggyg) -> aloft(ggggg)
alone,5,salet(_yyy_) -> regal(_y_yy) -> amble(g__yg) -> alike(gg__g) -> alone(ggggg)
along,4,salet(_yy__) -> alarm(gg___) -> blond(_ggg_) -> along(ggggg)
aloof,4,salet(_yy__) -> alarm(gg___) -> blond(_gg__) -> aloof(ggggg)
aloud,4,salet(_yy__) -> alarm(gg___) -> blond(_gg_g) -> aloud(ggggg)
alpha,3,salet(_yy__) -> alarm(ggy__) -> alpha(ggggg)
altar,3,salet(_yy_y) -> trial(yy_gy) -> altar(ggggg)
alter,2,salet(_yygy) -> alter(ggggg)
amass,3,salet(yy___) -> brash(__gg_) -> amass(ggggg)
amaze,4,salet(_y_y_) -> beard(_yg__) -> kanga(_y__y) -> amaze(ggggg)
amber,4,salet(_y_g_) -> anger(g__gg) -> aider(g__gg) -> amber(ggggg)
amble,3,salet(_yyy_) -> regal(_y_yy) -> amble(ggggg)
amend,3,salet(_y_y_) -> beard(_yy_g) -> amend(ggggg)
amiss,3,salet(yy___) -> brash(__yg_) -> amiss(ggggg)
amity,3,salet(_y__y) -> train(y_yy_) -> amity(ggggg)
among,4,salet(_y___) -> adorn(g_g_y) -> agony(gygg_) -> among(ggggg)
ample,4,salet(_yyy_) -> regal(_y_yy) -> amble(gg_gg) -> ample(ggggg)
amply,3,salet(_yy__) -> alarm(gy__y) -> amply(ggggg)
amuse,4,salet(yy_y_) -> erase(__ygg) -> abuse(g_ggg) -> amuse(ggggg)
angel,3,salet(_yyg_) -> alien(gy_gy) -> angel(ggggg)
anger,2,salet(_y_g_) -> anger(ggggg)
angle,3,salet(_yyy_) -> regal(_ygyy) -> angle(ggggg)
angry,3,salet(_y___) -> adorn(g__gy) -> angry(ggggg)
angst,3,salet(yy__g) -> taroc(yy___) -> angst(ggggg)
anime,4,salet(_y_y_) -> beard(_yy__) -> omega(_yy_y) -> anime(ggggg)
ankle,4,salet(_yyy_) -> regal(_y_yy) -> amble(g__gg) -> ankle(ggggg)
annex,3,salet(_y_g_) -> anger(gg_g_) -> annex(ggggg)
annoy,3,salet(_y___) -> adorn(g_y_y) -> annoy(ggggg)
annul,4,salet(_yy__) -> alarm(gy___) -> awful(g__gg) -> annul(ggggg)
anode,3,salet(_y_y_) -> beard(_yy_y) -> anode(ggggg)
antic,3,salet(_y__y) -> train(y_ygy) -> antic(ggggg)
anvil,4,salet(_yy__) -> alarm(gy___) -> awful(g___g) -> anvil(ggggg)
aorta,4,salet(_y__y) -> train(yyy__) -> actor(g_yyy) -> aorta(ggggg)
apart,3,salet(_y__g) -> crudo(_y___) -> apart(ggggg)
aphid,3,salet(_y___) -> adorn(gy___) -> aphid(ggggg)
aping,4,salet(_y___) -> adorn(g___y) -> aging(g_ggg) -> aping(ggggg)
apnea,3,salet(_y_g_) -> anger(gy_g_) -> apnea(ggggg)
apple,5,salet(_yyy_) -> regal(_y_yy) -> amble(g__gg) -> ankle(g__gg) -> apple(ggggg)
apply,4,salet(_yy__) -> alarm(gy___) -> awful(g___y) -> apply(ggggg)
apron,3,salet(_y___) -> adorn(g_yyg) -> apron(ggggg)
aptly,3,salet(_yy_y) -> trial(y__yy) -> aptly(ggggg)
arbor,4,salet(_y___) -> adorn(g_yy_) -> armor(gg_gg) -> arbor(ggggg)
ardor,3,salet(_y___) -> adorn(gyyy_) -> ardor(ggggg)
arena,4,salet(_y_y_) -> beard(_yyy_) -> cream(_ggy_) -> arena(ggggg)
argue,4,salet(_y_y_) -> beard(_yyy_) -> cream(_gyy_) -> argue(ggggg)
arise,3,salet(yy_y_) -> erase(_gygg) -> arise(ggggg)
armor,3,salet(_y___) -> adorn(g_yy_) -> armor(ggggg)
aroma,3,salet(_y___) -> adorn(g_gy_) -> aroma(ggggg)
arose,4,salet(yy_y_) -> erase(_gygg) -> arise(gg_gg) -> arose(ggggg)
array,3,salet(_y___) -> adorn(g__y_) -> array(ggggg)
arrow,4,salet(_y___) -> adorn(g_yy_) -> armor(gg_gy) -> arrow(ggggg)
arson,3,salet(yy___) -> brash(_gyy_) -> arson(ggggg)
artsy,2,salet(yy__y) -> artsy(ggggg)
ascot,3,salet(yy__g) -> taroc(yy_gy) -> ascot(ggggg)
ashen,2,salet(yy_g_) -> ashen(ggggg)
aside,3,salet(yy_y_) -> erase(__yyg) -> aside(ggggg)
askew,3,salet(yy_g_) -> ashen(gg_g_) -> askew(ggggg)
assay,3,salet(yy___) -> brash(__yy_) -> assay(ggggg)
asset,2,salet(yy_gg) -> asset(ggggg)
atoll,3,salet(_yy_y) -> trial(y__yg) -> atoll(ggggg)
atone,3,salet(_y_yy) -> grate(__yyg) -> atone(ggggg)
attic,3,salet(_y__y) -> train(y_yg_) -> attic(ggggg)
audio,3,salet(_y___) -> adorn(gyy__) -> audio(ggggg)
audit,3,salet(_y__g) -> crudo(__yy_) -> audit(ggggg)
augur,4,salet(_y___) -> adorn(g__y_) -> array(gy___) -> augur(ggggg)
aunty,3,salet(_y__y) -> train(y_y_y) -> aunty(ggggg)
avail,3,salet(_yy__) -> alarm(gyg__) -> avail(ggggg)
