secret,turns,path
aback,3,salet(_y___) -> brond(y____) -> aback(ggggg)
abase,3,salet(yy_y_) -> auric(g____) -> abase(ggggg)
abate,4,salet(_y_yy) -> grate(__ggg) -> ovate(__ggg) -> abate(ggggg)
abbey,3,salet(_y_g_) -> porin(_____) -> abbey(ggggg)
abbot,4,salet(_y__g) -> courd(_y___) -> afoot(g__gg) -> abbot(ggggg)
abhor,3,salet(_y___) -> brond(yyy__) -> abhor(ggggg)
abide,3,salet(_y_y_) -> beard(yyy_y) -> abide(ggggg)
abled,3,salet(_ygg_) -> alley(g_gg_) -> abled(ggggg)
abode,4,salet(_y_y_) -> beard(yyy_y) -> abide(gg_gg) -> abode(ggggg)
abort,3,salet(_y__g) -> courd(_y_g_) -> abort(ggggg)
about,3,salet(_y__g) -> courd(_yy__) -> about(ggggg)
above,3,salet(_y_y_) -> beard(yyy__) -> above(ggggg)
abuse,3,salet(yy_y_) -> auric(gy___) -> abuse(ggggg)
abyss,3,salet(yy___) -> crags(__y_g) -> abyss(ggggg)
acorn,3,salet(_y___) -> brond(_ygy_) -> acorn(ggggg)
acrid,3,salet(_y___) -> brond(_y__g) -> acrid(ggggg)
actor,3,salet(_y__y) -> conia(yy__y) -> actor(ggggg)
acute,3,salet(_y_yy) -> grate(__ygg) -> acute(ggggg)
adage,3,salet(_y_y_) -> beard(_yg_y) -> adage(ggggg)
adapt,3,salet(_y__g) -> courd(____y) -> adapt(ggggg)
adept,3,salet(_y_yg) -> recap(_y_yy) -> adept(ggggg)
admin,3,salet(_y___) -> brond(___yy) -> admin(ggggg)
admit,4,salet(_y__g) -> courd(____y) -> adapt(gg__g) -> admit(ggggg)
adobe,4,salet(_y_y_) -> beard(yyy_y) -> abide(gy_yg) -> adobe(ggggg)
adopt,3,salet(_y__g) -> courd(_y__y) -> adopt(ggggg)
adore,3,salet(_y_y_) -> beard(_yygy) -> adore(ggggg)
adorn,3,salet(_y___) -> brond(_ygyy) -> adorn(ggggg)
adult,3,salet(_yy_g) -> fling(_y___) -> adult(ggggg)
affix,4,salet(_y___) -> brond(_____) -> champ(__y__) -> affix(ggggg)
afire,3,salet(_y_y_) -> beard(_yyg_) -> afire(ggggg)
afoot,3,salet(_y__g) -> courd(_y___) -> afoot(ggggg)
afoul,3,salet(_yy__) -> corni(_y___) -> afoul(ggggg)
after,2,salet(_y_gy) -> after(ggggg)
again,4,salet(_y___) -> brond(___y_) -> chain(__ggg) -> again(ggggg)
agape,4,salet(_y_y_) -> beard(_yg__) -> aking(g___y) -> agape(ggggg)
agate,3,salet(_y_yy) -> grate(y_ggg) -> agate(ggggg)
agent,3,salet(_y_yg) -> recap(_y_y_) -> agent(ggggg)
agile,3,salet(_yyy_) -> gnarl(y_y_y) -> agile(ggggg)
aging,4,salet(_y___) -> brond(___g_) -> aping(g_ggg) -> aging(ggggg)
aglow,3,salet(_yg__) -> allay(g_g__) -> aglow(ggggg)
agony,4,salet(_y___) -> brond(__gg_) -> among(g_ggy) -> agony(ggggg)
agora,3,salet(_y___) -> brond(_yg__) -> agora(ggggg)
agree,3,salet(_y_g_) -> porin(__g__) -> agree(ggggg)
ahead,4,salet(_y_y_) -> beard(_yy_g) -> knead(__ggg) -> ahead(ggggg)
aider,3,salet(_y_g_) -> porin(__yy_) -> aider(ggggg)
aisle,3,salet(yyyy_) -> lease(y_yyg) -> aisle(ggggg)
alarm,4,salet(_yy__) -> corni(__y__) -> drawl(_yg_y) -> alarm(ggggg)
album,4,salet(_yy__) -> corni(_____) -> amply(gy_y_) -> album(ggggg)
alert,3,salet(_yyyg) -> recap(yy_y_) -> alert(ggggg)
algae,4,salet(_yyy_) -> gnarl(y_y_y) -> agile(gy_yg) -> algae(ggggg)
alibi,3,salet(_yy__) -> corni(____g) -> alibi(ggggg)
alien,2,salet(_yyg_) -> alien(ggggg)
align,4,salet(_yy__) -> corni(___yy) -> plain(_gyyg) -> align(ggggg)
alike,4,salet(_yyy_) -> gnarl(__y_y) -> kipps(yy___) -> alike(ggggg)
alive,4,salet(_yyy_) -> gnarl(__y_y) -> kipps(_y___) -> alive(ggggg)
allay,2,salet(_yg__) -> allay(ggggg)
alley,2,salet(_ygg_) -> alley(ggggg)
allot,2,salet(_yg_g) -> allot(ggggg)
allow,3,salet(_yg__) -> allay(ggg__) -> allow(ggggg)
alloy,3,salet(_yg__) -> allay(ggg_g) -> alloy(ggggg)
aloft,3,salet(_yy_g) -> fling(yg___) -> aloft(ggggg)
alone,3,salet(_yyy_) -> gnarl(_yy_y) -> alone(ggggg)
along,3,salet(_yy__) -> corni(_y_g_) -> along(ggggg)
aloof,4,salet(_yy__) -> corni(_y___) -> afoul(gyg_y) -> aloof(ggggg)
aloud,4,salet(_yy__) -> corni(_y___) -> afoul(g_ggy) -> aloud(ggggg)
alpha,4,salet(_yy__) -> corni(_____) -> amply(g_gy_) -> alpha(ggggg)
altar,3,salet(_yy_y) -> ottar(__ggg) -> altar(ggggg)
alter,2,salet(_yygy) -> alter(ggggg)
amass,3,salet(yy___) -> crags(__g_g) -> amass(ggggg)
amaze,4,salet(_y_y_) -> beard(_yg__) -> aking(g____) -> amaze(ggggg)
amber,3,salet(_y_g_) -> porin(__y__) -> amber(ggggg)
amble,4,salet(_yyy_) -> gnarl(__y_y) -> kipps(_____) -> amble(ggggg)
amend,4,salet(_y_y_) -> beard(_yy_g) -> knead(_ygyg) -> amend(ggggg)
amiss,4,salet(yy___) -> crags(__y_g) -> abyss(g__gg) -> amiss(ggggg)
amity,4,salet(_y__y) -> conia(___yy) -> triad(y_gy_) -> amity(ggggg)
among,3,salet(_y___) -> brond(__gg_) -> among(ggggg)
ample,4,salet(_yyy_) -> gnarl(__y_y) -> kipps(__g__) -> ample(ggggg)
amply,3,salet(_yy__) -> corni(_____) -> amply(ggggg)
amuse,4,salet(yy_y_) -> auric(gy___) -> abuse(g_ggg) -> amuse(ggggg)
angel,3,salet(_yyg_) -> alien(gy_gy) -> angel(ggggg)
anger,3,salet(_y_g_) -> porin(__y_y) -> anger(ggggg)
angle,3,salet(_yyy_) -> gnarl(ygy_y) -> angle(ggggg)
angry,3,salet(_y___) -> brond(_y_y_) -> angry(ggggg)
angst,3,salet(yy__g) -> acerb(g____) -> angst(ggggg)
anime,4,salet(_y_y_) -> beard(_yy__) -> hyena(__yyy) -> anime(ggggg)
ankle,3,salet(_yyy_) -> gnarl(_gy_y) -> ankle(ggggg)
annex,3,salet(_y_g_) -> porin(____y) -> annex(ggggg)
annoy,3,salet(_y___) -> brond(__yy_) -> annoy(ggggg)
annul,3,salet(_yy__) -> corni(___y_) -> annul(ggggg)
anode,3,salet(_y_y_) -> beard(_yy_y) -> anode(ggggg)
antic,3,salet(_y__y) -> conia(y_ygy) -> antic(ggggg)
anvil,4,salet(_yy__) -> corni(___yy) -> plain(_yygy) -> anvil(ggggg)
aorta,3,salet(_y__y) -> conia(_g__g) -> aorta(ggggg)
apart,3,salet(_y__g) -> courd(___g_) -> apart(ggggg)
aphid,3,salet(_y___) -> brond(____g) -> aphid(ggggg)
aping,3,salet(_y___) -> brond(___g_) -> aping(ggggg)
apnea,3,salet(_y_g_) -> porin(y___y) -> apnea(ggggg)
apple,4,salet(_yyy_) -> gnarl(__y_y) -> kipps(__gy_) -> apple(ggggg)
apply,4,salet(_yy__) -> corni(_____) -> amply(g_ggg) -> apply(ggggg)
apron,3,salet(_y___) -> brond(_yyy_) -> apron(ggggg)
aptly,3,salet(_yy_y) -> ottar(__gy_) -> aptly(ggggg)
arbor,3,salet(_y___) -> brond(ygy__) -> arbor(ggggg)
ardor,3,salet(_y___) -> brond(_gy_y) -> ardor(ggggg)
arena,4,salet(_y_y_) -> beard(_yyy_) -> fucks(_____) -> arena(ggggg)
argue,4,salet(_y_y_) -> beard(_yyy_) -> fucks(_y___) -> argue(ggggg)
arise,3,salet(yy_y_) -> auric(g_yy_) -> arise(ggggg)
armor,3,salet(_y___) -> brond(_gy__) -> armor(ggggg)
aroma,4,salet(_y___) -> brond(_gg__) -> croak(_ggy_) -> aroma(ggggg)
arose,3,salet(yy_y_) -> auric(g_y__) -> arose(ggggg)
array,4,salet(_y___) -> brond(_g___) -> cymas(_y_g_) -> array(ggggg)
arrow,4,salet(_y___) -> brond(_gy__) -> armor(gg_gy) -> arrow(ggggg)
arson,3,salet(yy___) -> crags(_gy_y) -> arson(ggggg)
artsy,3,salet(yy__y) -> trash(ygyg_) -> artsy(ggggg)
ascot,3,salet(yy__g) -> acerb(gy___) -> ascot(ggggg)
ashen,3,salet(yy_g_) -> askew(gg_g_) -> ashen(ggggg)
aside,3,salet(yy_y_) -> auric(g__y_) -> aside(ggggg)
askew,2,salet(yy_g_) -> askew(ggggg)
assay,3,salet(yy___) -> crags(__y_y) -> assay(ggggg)
asset,2,salet(yy_gg) -> asset(ggggg)
atoll,3,salet(_yy_y) -> ottar(yg_y_) -> atoll(ggggg)
atone,3,salet(_y_yy) -> grate(__yyg) -> atone(ggggg)
attic,3,salet(_y__y) -> conia(y__gy) -> attic(ggggg)
audio,4,salet(_y___) -> brond(__y_y) -> dogma(yy__y) -> audio(ggggg)
audit,3,salet(_y__g) -> courd(__y_y) -> audit(ggggg)
augur,4,salet(_y___) -> brond(_y___) -> chair(__y_g) -> augur(ggggg)
aunty,3,salet(_y__y) -> conia(__g_y) -> aunty(ggggg)
avail,4,salet(_yy__) -> corni(____y) -> fraud(__g__) -> avail(ggggg)
avert,3,salet(_y_yg) -> recap(yy_y_) -> avert(ggggg)
avian,4,salet(_y___) -> brond(___y_) -> chain(__yyg) -> avian(ggggg)
avoid,3,salet(_y___) -> brond(__g_g) -> avoid(ggggg)
await,3,salet(_y__g) -> courd(_____) -> await(ggggg)
awake,4,salet(_y_y_) -> beard(_yg__) -> aking(gy___) -> awake(ggggg)
award,4,salet(_y___) -> brond(_y__g) -> acrid(g_y_g) -> award(ggggg)
aware,3,salet(_y_y_) -> beard(_ygg_) -> aware(ggggg)
awash,3,salet(yy___) -> crags(__g_y) -> awash(ggggg)
awful,4,salet(_yy__) -> corni(_____) -> amply(g__y_) -> awful(ggggg)
awoke,4,salet(_y_y_) -> beard(_yy__) -> hyena(__y_y) -> awoke(ggggg)
axial,4,salet(_yy__) -> corni(____y) -> fraud(__y__) -> axial(ggggg)
axiom,4,salet(_y___) -> brond(__y__) -> coach(_yy__) -> axiom(ggggg)
axion,4,salet(_y___) -> brond(__yy_) -> annoy(gy_g_) -> axion(ggggg)
azure,4,salet(_y_y_) -> beard(_yyg_) -> afire(g__gg) -> azure(ggggg)
bacon,3,salet(_g___) -> corny(yy_y_) -> bacon(ggggg)
badge,3,salet(_g_y_) -> crumb(____y) -> badge(ggggg)
badly,3,salet(_gy__) -> bingy(g___g) -> badly(ggggg)
bagel,4,salet(_gyg_) -> lingy(y__y_) -> gavel(yg_gg) -> bagel(ggggg)
baggy,4,salet(_g___) -> corny(____g) -> pudgy(___gg) -> baggy(ggggg)
baker,5,salet(_g_g_) -> gormy(__y__) -> caper(_g_gg) -> waver(_g_gg) -> baker(ggggg)
baler,2,salet(_ggg_) -> baler(ggggg)
balmy,3,salet(_gg__) -> rally(_gg_g) -> balmy(ggggg)
banal,3,salet(_gy__) -> bingy(g_g__) -> banal(ggggg)
banjo,3,salet(_g___) -> corny(_y_y_) -> banjo(ggggg)
barge,3,salet(_g_y_) -> crumb(_y__y) -> barge(ggggg)
baron,3,salet(_g___) -> corny(_ygy_) -> baron(ggggg)
basal,2,salet(ygy__) -> basal(ggggg)
basic,4,salet(yg___) -> ramin(_g_g_) -> basis(gggg_) -> basic(ggggg)
basil,3,salet(ygy__) -> basal(ggg_g) -> basil(ggggg)
basin,3,salet(yg___) -> ramin(_g_gg) -> basin(ggggg)
basis,3,salet(yg___) -> ramin(_g_g_) -> basis(ggggg)
baste,4,salet(yg_yy) -> porch(_____) -> timbo(y__y_) -> baste(ggggg)
batch,3,salet(_g__y) -> pubco(__yg_) -> batch(ggggg)
bathe,3,salet(_g_yy) -> haute(yg_yg) -> bathe(ggggg)
baton,3,salet(_g__y) -> pubco(__y_y) -> baton(ggggg)
batty,3,salet(_g__y) -> pubco(__y__) -> batty(ggggg)
bawdy,4,salet(_g___) -> corny(____g) -> pudgy(__y_g) -> bawdy(ggggg)
bayou,3,salet(_g___) -> corny(_y__y) -> bayou(ggggg)
beach,3,salet(_y_y_) -> beard(ggg__) -> beach(ggggg)
beady,3,salet(_y_y_) -> beard(ggg_y) -> beady(ggggg)
beard,2,salet(_y_y_) -> beard(ggggg)
beast,3,salet(yy_yg) -> boyar(g__y_) -> beast(ggggg)
beech,4,salet(___y_) -> drone(____y) -> beefy(ggg__) -> beech(ggggg)
beefy,3,salet(___y_) -> drone(____y) -> beefy(ggggg)
befit,4,salet(___yg) -> runic(___g_) -> debit(_gygg) -> befit(ggggg)
began,3,salet(_y_y_) -> beard(ggy__) -> began(ggggg)
begat,3,salet(_y_yg) -> recap(_g_g_) -> begat(ggggg)
beget,3,salet(___gg) -> cerne(_g__y) -> beget(ggggg)
begin,4,salet(___y_) -> drone(___yy) -> begun(ggg_g) -> begin(ggggg)
begun,3,salet(___y_) -> drone(___yy) -> begun(ggggg)
being,4,salet(___y_) -> drone(___gy) -> penny(_g_g_) -> being(ggggg)
belch,3,salet(__gy_) -> himbo(y__y_) -> belch(ggggg)
belie,3,salet(__gy_) -> himbo(_y_y_) -> belie(ggggg)
belle,4,salet(__gy_) -> himbo(___y_) -> bulge(g_g_g) -> belle(ggggg)
belly,4,salet(__gy_) -> himbo(___y_) -> bulge(g_g_y) -> belly(ggggg)
below,3,salet(__gy_) -> himbo(___yy) -> below(ggggg)
bench,4,salet(___y_) -> drone(___yy) -> begun(gg__y) -> bench(ggggg)
beret,3,salet(___gg) -> cerne(_gg_y) -> beret(ggggg)
berry,4,salet(___y_) -> drone(_y__y) -> murry(__ggg) -> berry(ggggg)
berth,3,salet(___yy) -> trite(_y_gy) -> berth(ggggg)
beset,3,salet(y__gg) -> repot(_g__g) -> beset(ggggg)
betel,3,salet(__ygy) -> motel(__ggg) -> betel(ggggg)
bevel,3,salet(__yg_) -> bevor(ggg__) -> bevel(ggggg)
bezel,3,salet(__yg_) -> bevor(gg___) -> bezel(ggggg)
bible,3,salet(__yy_) -> doing(__y__) -> bible(ggggg)
bicep,4,salet(___g_) -> rownd(_____) -> cheek(y__g_) -> bicep(ggggg)
biddy,4,salet(_____) -> courd(____y) -> giddy(_gggg) -> biddy(ggggg)
bigot,3,salet(____g) -> groin(y_yy_) -> bigot(ggggg)
bilge,3,salet(__gy_) -> himbo(_g_y_) -> bilge(ggggg)
billy,4,salet(__g__) -> fugly(___gg) -> bodhi(g___y) -> billy(ggggg)
binge,4,salet(___y_) -> drone(___yg) -> pinch(_gg__) -> binge(ggggg)
bingo,4,salet(_____) -> courd(_y___) -> inbox(yyyy_) -> bingo(ggggg)
biome,4,salet(___y_) -> drone(__g_g) -> stick(__y__) -> biome(ggggg)
birch,4,salet(_____) -> courd(y__y_) -> prick(_yyg_) -> birch(ggggg)
birth,4,salet(____y) -> north(__ggg) -> gumps(_____) -> birth(ggggg)
bison,4,salet(y____) -> mucho(____y) -> dross(__yy_) -> bison(ggggg)
bitty,4,salet(____y) -> north(___g_) -> biked(gg___) -> bitty(ggggg)
black,4,salet(_yy__) -> corni(y____) -> flack(_gggg) -> black(ggggg)
blade,4,salet(_yyy_) -> gnarl(__g_y) -> fehme(____g) -> blade(ggggg)
blame,4,salet(_yyy_) -> gnarl(__g_y) -> fehme(___gg) -> blame(ggggg)
bland,4,salet(_yy__) -> corni(___g_) -> bifid(g___g) -> bland(ggggg)
blank,4,salet(_yy__) -> corni(___g_) -> bifid(g____) -> blank(ggggg)
blare,3,salet(_yyy_) -> gnarl(__ggy) -> blare(ggggg)
blast,2,salet(yyy_g) -> blast(ggggg)
blaze,5,salet(_yyy_) -> gnarl(__g_y) -> fehme(____g) -> blade(ggg_g) -> blaze(ggggg)
bleak,4,salet(_yyy_) -> gnarl(__y_y) -> kipps(y____) -> bleak(ggggg)
bleat,3,salet(_yyyg) -> recap(_y_g_) -> bleat(ggggg)
bleed,4,salet(__yg_) -> bevor(gy___) -> bleep(gggg_) -> bleed(ggggg)
bleep,3,salet(__yg_) -> bevor(gy___) -> bleep(ggggg)
blend,3,salet(__yy_) -> doing(y__g_) -> blend(ggggg)
bless,3,salet(y_yy_) -> mofos(____g) -> bless(ggggg)
blimp,4,salet(__y__) -> courd(_____) -> lying(y_g__) -> blimp(ggggg)
blind,4,salet(__y__) -> courd(____g) -> livid(yy__g) -> blind(ggggg)
blink,4,salet(__y__) -> courd(_____) -> lying(y_gg_) -> blink(ggggg)
bliss,3,salet(y_y__) -> forbs(___yg) -> bliss(ggggg)
blitz,3,salet(__y_y) -> troll(y__y_) -> blitz(ggggg)
bloat,3,salet(_yy_g) -> fling(_g___) -> bloat(ggggg)
block,3,salet(__y__) -> courd(yy___) -> block(ggggg)
bloke,4,salet(__yy_) -> doing(_y___) -> elbow(ygyy_) -> bloke(ggggg)
blond,4,salet(__y__) -> courd(_y__g) -> blood(ggg_g) -> blond(ggggg)
blood,3,salet(__y__) -> courd(_y__g) -> blood(ggggg)
bloom,4,salet(__y__) -> courd(_y___) -> blown(ggg__) -> bloom(ggggg)
blown,3,salet(__y__) -> courd(_y___) -> blown(ggggg)
bluer,3,salet(__yg_) -> bevor(gy__g) -> bluer(ggggg)
bluff,4,salet(__y__) -> courd(__g__) -> flung(ygg__) -> bluff(ggggg)
blunt,3,salet(__y_g) -> flung(_ggg_) -> blunt(ggggg)
blurb,3,salet(__y__) -> courd(__gg_) -> blurb(ggggg)
blurt,3,salet(__y_g) -> flung(_gg__) -> blurt(ggggg)
blush,3,salet(y_y__) -> forbs(___yy) -> blush(ggggg)
board,3,salet(_y___) -> brond(gyy_g) -> board(ggggg)
boast,3,salet(yy__g) -> acerb(y___y) -> boast(ggggg)
bobby,4,salet(_____) -> courd(_g___) -> boozy(gg__g) -> bobby(ggggg)
boney,4,salet(___g_) -> rownd(_g_y_) -> charm(_____) -> boney(ggggg)
bongo,4,salet(_____) -> courd(_g___) -> boozy(ggy__) -> bongo(ggggg)
bonus,3,salet(y____) -> mucho(_y__y) -> bonus(ggggg)
booby,4,salet(_____) -> courd(_g___) -> boozy(ggg_g) -> booby(ggggg)
boost,3,salet(y___g) -> moria(_g___) -> boost(ggggg)
booth,4,salet(____y) -> north(_g_gg) -> booms(ggg__) -> booth(ggggg)
booty,4,salet(____y) -> north(_g_g_) -> motto(_g_gy) -> booty(ggggg)
booze,4,salet(___y_) -> drone(__g_g) -> stick(_____) -> booze(ggggg)
boozy,3,salet(_____) -> courd(_g___) -> boozy(ggggg)
borax,3,salet(_y___) -> brond(gyy__) -> borax(ggggg)
borne,3,salet(___y_) -> drone(_yygg) -> borne(ggggg)
bosom,3,salet(y____) -> mucho(y___y) -> bosom(ggggg)
bossy,4,salet(y____) -> mucho(____y) -> dross(__ygy) -> bossy(ggggg)
botch,4,salet(____y) -> north(_g_yg) -> touch(yg_gg) -> botch(ggggg)
bough,3,salet(_____) -> courd(_gg__) -> bough(ggggg)
boule,3,salet(__yy_) -> doing(_g___) -> boule(ggggg)
bound,5,salet(_____) -> courd(_gg_g) -> whump(__g__) -> found(_gggg) -> bound(ggggg)
bowel,3,salet(__yg_) -> bevor(gy_y_) -> bowel(ggggg)
boxer,5,salet(___g_) -> rownd(yg___) -> chevy(__y__) -> joker(_g_gg) -> boxer(ggggg)
brace,4,salet(_y_y_) -> beard(gygy_) -> stick(___g_) -> brace(ggggg)
braid,3,salet(_y___) -> brond(gg__g) -> braid(ggggg)
brain,4,salet(_y___) -> brond(gg_y_) -> brawn(ggg_g) -> brain(ggggg)
brake,4,salet(_y_y_) -> beard(gygy_) -> stick(____y) -> brake(ggggg)
brand,3,salet(_y___) -> brond(gg_gg) -> brand(ggggg)
brash,3,salet(yy___) -> crags(_gg_y) -> brash(ggggg)
brass,3,salet(yy___) -> crags(_gg_g) -> brass(ggggg)
brave,4,salet(_y_y_) -> beard(gygy_) -> stick(_____) -> brave(ggggg)
bravo,3,salet(_y___) -> brond(ggy__) -> bravo(ggggg)
brawl,4,salet(_yy__) -> corni(__y__) -> drawl(_gggg) -> brawl(ggggg)
brawn,3,salet(_y___) -> brond(gg_y_) -> brawn(ggggg)
bread,3,salet(_y_y_) -> beard(gyyyg) -> bread(ggggg)
break,3,salet(_y_y_) -> beard(gyyy_) -> break(ggggg)
breed,5,salet(___g_) -> rownd(y___g) -> calif(_____) -> greed(_gggg) -> breed(ggggg)
briar,3,salet(_y___) -> brond(gg___) -> briar(ggggg)
